pause002,pause003,pause0031,pause0031.1,pause0031_,pause0031_.1,pause0032,pause0032_,pause0033,pause0033.1,pause0033_,pause0035,pause004,pause004_,pause004_.1,pause0043,pause0043_,pause0045,pause0045_,pause0047,pause005,pause02,pause02_,pause01
,,2342.0,2342.0,,,,34,2512.0,2512.0,,,,,42.0,45.0,,50,47.0,,,,,
,,2345.0,2345.0,,,,34,2516.0,2516.0,,,,,40.0,44.0,,46,48.0,,,,,
,,2375.0,2375.0,,,,34,3949.0,3949.0,,,,,43.0,44.0,,48,48.0,,,,,
,,2510.0,2510.0,,,,37,,,,,,,,43.0,,48,,,,,,
,,,,,,,31,,,,,,,,47.0,,45,,,,,,
,,,,,,,33,,,,,,,,45.0,,48,,,,,,
,,,,,,,32,,,,,,,,43.0,,46,,,,,,
,,,,,,,34,,,,,,,,,,49,,,,,,
,,,,,,,35,,,,,,,,,,44,,,,,,
,,,,,,,33,,,,,,,,,,45,,,,,,
,,,,,,,33,,,,,,,,,,47,,,,,,
,,,,,,,49,,,,,,,,,,47,,,,,,
,,,,,,,64,,,,,,,,,,48,,,,,,
,,,,,,,998,,,,,,,,,,49,,,,,,
,,,,,,,3630,,,,,,,,,,45,,,,,,
