Variable,N,Mean,SD,SE,95% Conf.,Interval,N,Mean,SD,SE,95% Conf.,Interval,N
40,41,44.6,10.8,1.7,41.2,48,38,42.6,1.3,0.2,42.1,43,7.317073171
40.1.1,38,43.2,10.3,1.7,39.9,46.6,35,41.1,1.1,0.2,40.8,41.5,7.894736842
40.1.1.1,54,43.9,7.8,1.1,41.7,46,52,42.9,1.1,0.2,42.6,43.2,3.703703704
40.1.1.1.1,26,43,5.2,1,40.9,45,23,42.9,1.4,0.3,42.3,43.5,11.53846154
40.1.1.1.1.1,75,43.6,7.5,0.9,41.9,45.3,67,42.5,1,0.1,42.3,42.8,10.66666667
43,45,45.6,4,0.6,44.4,46.8,43,45.3,1.5,0.2,44.8,45.8,4.444444444
43.1,34,4688.3,427,73.2,4539.3,4837.3,32,4757.6,331.3,58.6,4638.2,4877,5.882352941
43.1.1,53,817.2,558.3,76.7,663.4,971.1,53,817.2,558.3,76.7,663.4,971.1,0
43.1.1.1,38,120.6,153.3,24.9,70.2,171,29,46.6,4,0.7,45,48.1,23.68421053
43.1.1.1.1,56,45.8,3.4,0.5,44.9,46.7,53,45.7,1.3,0.2,45.3,46,5.357142857
45,53,48.5,7.8,1.1,46.4,50.7,52,47.5,1.7,0.2,47,48,1.886792453
45.1,41,48.1,3.5,0.5,47,49.3,39,47.5,1.4,0.2,47,47.9,4.87804878
45.1.1,76,47.9,2.5,0.3,47.4,48.5,71,47.9,1,0.1,47.6,48.1,6.578947368
45.1.1.1,65,191.3,289.5,35.9,119.6,263,50,50.5,18.8,2.7,45.2,55.8,23.07692308
45.1.1.1.1,48,49.1,8.1,1.2,46.7,51.4,46,47.7,1.4,0.2,47.2,48.1,4.166666667
47,34,50.9,9.1,1.6,47.7,54,33,49.3,1.3,0.2,48.8,49.8,2.941176471
47.1,29,3971.6,427.2,79.3,3809.1,4134.1,29,3971.6,427.2,79.3,3809.1,4134.1,0
47.1.1,55,387.9,119.8,16.2,355.5,420.3,40,348.3,1.9,0.3,347.7,348.9,27.27272727
47.1.1.1,33,50,3.5,0.6,48.8,51.3,28,49.6,1,0.2,49.3,50,15.15151515
47.1.1.1.1,38,51.9,14,2.3,47.4,56.5,35,50,0.9,0.2,49.7,50.3,7.894736842
50,15,55.4,12.1,3.1,48.7,62.1,13,52.5,0.8,0.2,52,52.9,13.33333333
50.1.1.1,62,53.5,6.2,0.8,51.9,55.1,61,52.7,1.1,0.1,52.4,53,1.612903226
50.1.1.1.1,34,365,27.3,4.7,355.4,374.5,31,369.2,1.8,0.3,368.5,369.8,8.823529412
50.1.1.1.1.1,38,54.3,8.2,1.3,51.6,57,36,52.6,1.6,0.3,52,53.1,5.263157895
50.1.1.1.1.1.1,30,54.6,9.3,1.7,51.2,58.1,28,52.3,1.3,0.3,51.8,52.8,6.666666667
100,11,189.5,156.6,47.2,84.3,294.7,9,124.7,54,18,83.2,166.2,18.18181818
100.1,23,1227,383.9,80,1061,1393,21,1310.7,277.2,60.5,1184.5,1436.9,8.695652174
100.1.1,30,101.7,6.5,1.2,99.3,104.2,29,102.9,1.4,0.3,102.4,103.4,3.333333333
100.1.1.1,23,103,1.2,0.2,102.5,103.6,23,103,1.2,0.2,102.5,103.6,0
100.1.1.1.1,41,906.4,441.3,68.9,767.1,1045.7,29,728.9,59.3,11,706.4,751.5,29.26829268
200,28,687.4,116.5,22,642.2,732.6,22,718.4,1.4,0.3,717.8,719,21.42857143
200.1,14,195.5,28.9,7.7,178.8,212.2,13,203.2,1.2,0.3,202.5,203.9,7.142857143
200.1.1.1,14,193.5,36.4,9.7,172.5,214.5,13,203.2,1.7,0.5,202.2,204.3,7.142857143
200.1.1.1.1,15,1370.7,197.8,51.1,1261.1,1480.2,13,1419.9,1.4,0.4,1419.1,1420.8,13.33333333
200.1.1.1.1,7,202.1,2,0.7,200.3,203.9,6,201.5,1,0.4,200.4,202.6,14.28571429
