Variable,N,Mean,SD,SE,95% Conf.,Interval,Variable2,N,Mean,SD,SE,95% Conf.,Interval,N
39.1.1,45,3217.9,4060.9,605.4,1997.8,4437.9,39.1.1,34,1017.7,303.4,52,911.8,1123.6,24.44444444
39.1.1.1,27,2192.6,163.6,31.5,2127.8,2257.3,39.1.1.1,27,2192.6,163.6,31.5,2127.8,2257.3,0
39.1.1.1.1,37,1154.4,2190.9,360.2,423.9,1884.9,39.1.1.1.1,35,647.7,316.6,53.5,539,756.5,5.405405405
40,41,356.5,286.4,44.7,266.1,446.9,40,41,356.5,286.4,44.7,266.1,446.9,0
40.1,71,243.7,308,36.6,170.8,316.6,40.1,69,221.2,282.1,34,153.5,289,2.816901408
40.1.1,30,10361.8,20.8,3.8,10354,10369.5,40.1.1,29,10359.4,16.7,3.1,10353.1,10365.8,3.333333333
40.1.1.1,33,2011,3776.2,657.4,672,3350,40.1.1.1,28,640.6,292.7,55.3,527.1,754.1,15.15151515
40.1.1.1.1,30,4171.1,109.3,20,4130.3,4211.9,40.1.1.1.1,26,4135.6,61.3,12,4110.8,4160.3,13.33333333
43,42,359.6,370.3,57.1,244.2,475,43,42,359.6,370.3,57.1,244.2,475,0
43.1,45,2828.8,525.1,78.3,2671,2986.5,43.1,45,2828.8,525.1,78.3,2671,2986.5,0
43.1.1,36,876.4,590,98.3,676.8,1076.1,43.1.1,35,815.4,469.1,79.3,654.2,976.5,2.777777778
43.1.1.1,45,311,346.3,51.6,206.9,415,43.1.1.1,45,311,346.3,51.6,206.9,415,0
43.1.1.1.1,38,1949.9,688.5,111.7,1723.6,2176.2,43.1.1.1.1,37,1859.5,410,67.4,1722.8,1996.2,2.631578947
45,76,263.3,384.3,44.1,175.5,351.1,45,66,135.3,201.1,24.8,85.8,184.7,13.15789474
45.1,47,3507.6,2515.8,367,2769,4246.3,45.1,41,2619.9,584.8,91.3,2435.3,2804.5,12.76595745
45.1.1,53,521.3,544.6,74.8,371.1,671.4,45.1.1,53,521.3,544.6,74.8,371.1,671.4,0
45.1.1.1,31,407.5,370.5,66.5,271.7,543.4,45.1.1.1,31,407.5,370.5,66.5,271.7,543.4,0
45.1.1.1.1,58,433.7,505.9,66.4,300.7,566.7,45.1.1.1.1,58,433.7,505.9,66.4,300.7,566.7,0
47,108,143.3,248.2,23.9,95.9,190.6,47,84,47.4,0.9,0.1,47.2,47.5,22.22222222
47.1,59,585,639.2,83.2,418.4,751.6,47.1,59,585,639.2,83.2,418.4,751.6,0
47.1.1,62,471.6,568.9,72.2,327.1,616.1,47.1.1,62,471.6,568.9,72.2,327.1,616.1,0
47.1.1.1,46,1709,761.4,112.3,1482.9,1935.1,47.1.1.1,46,1709,761.4,112.3,1482.9,1935.1,0
47.1.1.1.1,48,1005.1,737.6,106.5,790.9,1219.3,47.1.1.1.1,48,1005.1,737.6,106.5,790.9,1219.3,0
50,38,349.4,407.1,66,215.6,483.2,50,38,349.4,407.1,66,215.6,483.2,0
50.1.1,59,363.3,489.1,63.7,235.9,490.8,50.1.1,56,300.6,416.4,55.6,189.1,412.1,5.084745763
50.1.1.1,42,642.1,617.3,95.3,449.7,834.4,50.1.1.1,42,642.1,617.3,95.3,449.7,834.4,0
50.1.1.1.1,46,2813.5,3300.6,486.6,1833.3,3793.6,50.1.1.1.1,40,1588.7,879.2,139,1307.5,1869.9,13.04347826
50.1.1.1.1.1,48,588,623.2,90,407.1,769,50.1.1.1.1.1,48,588,623.2,90,407.1,769,0
100,38,259.9,337.8,54.8,148.9,370.9,100,29,100.4,1.1,0.2,100,100.8,23.68421053
100.1,49,974.1,1113.3,159,654.3,1293.9,100.1,49,974.1,1113.3,159,654.3,1293.9,0
100.1.1,32,137.8,114.4,20.2,96.5,179,100.1.1,27,100.6,1.1,0.2,100.2,101.1,15.625
100.1.1.1.1,52,219.4,308.6,42.8,133.5,305.3,201,43,91,108,16.5,57.7,124.2,17.30769231
100.1.1.1,24,928,783.2,159.9,597.3,1258.7,100.1.1.1,24,928,783.2,159.9,597.3,1258.7,0
200,38,309.5,279.2,45.3,217.8,401.3,200,30,200.1,1.1,0.2,199.7,200.5,21.05263158
200.1,24,625.6,601.7,122.8,371.6,879.7,200.1,24,625.6,601.7,122.8,371.6,879.7,0
200.1.1,58,4375.6,2793.2,366.8,3641.2,5110,200.1.1,58,4375.6,2793.2,366.8,3641.2,5110,0
200.1.1.1,27,1018.1,918.6,176.8,654.8,1381.5,200.1.1.1,27,1018.1,918.6,176.8,654.8,1381.5,0
200.1.1.1,35,786.7,842.9,142.5,497.2,1076.3,203,35,786.7,842.9,142.5,497.2,1076.3,0
