0,Unnamed: 1,100,20,50,30,33,35,40,43,31,32,33.1,31.1,32.1,31.1.1,20.1,45,40.1,45.1,40.1.1,43.1,47,20.1.1,30.1,31.1.1.1,32.1.1,33.1.1,34,35.1,36,50.1,50.1.1,20.1.1.1,40.1.1.1,43.1.1,45.1.1,47.1,100.1,20.1.1.1.1,200,50.1.1.1,32.1.1.1,33.1.1.1,33.1.1.1.1,34.1,35.1.1,36.1,37,38,30.1.1,31.1.1.1.1,32.1.1.1.1,33.1.1.1.1.1,34.1.1,35.1.1.1,36.1.1,37.1,38.1,39,100.1.1,45.1.1.1,47.1.1,50.1.1.1.1,20.1.1.1.1.1,200.1,30.1.1.1,31.1.1.1.1.1,33.1.1.1.1.1.1,34.1.1.1,35.1.1.1.1,36.1.1.1,37.1.1,37.1.1.1,38.1.1,39.1,37.1.1.1.1,38.1.1.1,38.1.1.1.1,39.1.1,39.1.1.1,40.1.1.1.1,43.1.1.1,45.1.1.1.1,47.1.1.1,100.1.1.1,20.1.1.1.1.1.1,200.1.1,33.1.1.1.1.1.1.1,34.1.1.1.1,47.1.1.1.1,50.1.1.1.1.1,100.1.1.1.1,200.1.1.1,50.1.1.1.1.1.1,200.1.1.1.1,39.1.1.1.1,40.1.1.1.1.1,43.1.1.1.1,36.1.1.1.1,36.1.1.1.1.1,30.1.1.1.1,30.1.1.1.1.1,32.1.1.1.1.1,35
,,104.0,,53.0,166.0,35.0,36.0,44.0,44.0,1402.0,101.0,35.0,13425.0,34.0,3244.0,,49.0,3818.0,47.0,41.0,5026.0,49.0,,,,,,35.0,,,,,,43.0,1441.0,48,3886.0,1027.0,,719.0,53.0,34.0,,35.0,36.0,2830.0,41.0,39.0,39.0,368.0,1477.0,33.0,1684.0,38.0,38.0,37.0,1237.0,1371.0,41.0,101.0,471.0,279.0,371.0,,204.0,101.0,34.0,36.0,839.0,265.0,1103.0,1602.0,368.0,41.0,40.0,39.0,38.0,40.0,43.0,42.0,45.0,46.0,46.0,50.0,103.0,,1421.0,533.0,1697.0,50.0,54.0,834.0,207.0,51.0,1420.0,41.0,44.0,45.0,38.0,42.0,,1544.0,234.0,603.0
,,,,51.0,266.0,35.0,36.0,78.0,45.0,1436.0,98.0,35.0,14336.0,32.0,3440.0,,48.0,3786.0,47.0,42.0,4960.0,49.0,,,,,,36.0,,,,,,43.0,1408.0,48,3818.0,1419.0,,718.0,51.0,36.0,,36.0,36.0,2847.0,38.0,40.0,41.0,399.0,2010.0,36.0,1681.0,37.0,38.0,38.0,1206.0,1336.0,45.0,103.0,400.0,346.0,368.0,,202.0,133.0,36.0,36.0,808.0,261.0,1070.0,1570.0,337.0,38.0,45.0,40.0,39.0,42.0,41.0,41.0,41.0,46.0,48.0,49.0,101.0,,1419.0,499.0,1663.0,50.0,54.0,701.0,205.0,52.0,1419.0,44.0,44.0,47.0,39.0,38.0,,2217.0,234.0,569.0
,,,,53.0,468.0,35.0,40.0,43.0,43.0,1974.0,100.0,32.0,,31.0,3815.0,,48.0,3751.0,49.0,43.0,4924.0,50.0,,,,,,35.0,,,,,,42.0,1345.0,47,4122.0,1419.0,,719.0,53.0,34.0,,34.0,35.0,2823.0,38.0,40.0,39.0,401.0,3022.0,34.0,1644.0,35.0,35.0,38.0,1170.0,1272.0,41.0,101.0,366.0,348.0,369.0,,204.0,201.0,35.0,35.0,808.0,264.0,1072.0,1575.0,302.0,39.0,42.0,37.0,43.0,40.0,42.0,42.0,41.0,46.0,62.0,51.0,103.0,,1421.0,532.0,1662.0,49.0,52.0,567.0,202.0,52.0,1420.0,40.0,44.0,45.0,39.0,38.0,,2883.0,235.0,566.0
,,,,53.0,736.0,34.0,38.0,41.0,46.0,1974.0,99.0,35.0,,34.0,3950.0,,50.0,3719.0,48.0,40.0,4859.0,49.0,,,,,,37.0,,,,,,43.0,1310.0,48,4058.0,1421.0,,717.0,54.0,35.0,,34.0,35.0,2823.0,39.0,39.0,41.0,469.0,3857.0,33.0,1645.0,37.0,37.0,58.0,1137.0,1238.0,41.0,104.0,300.0,346.0,371.0,,204.0,307.0,35.0,36.0,775.0,265.0,1037.0,1547.0,299.0,42.0,40.0,39.0,39.0,41.0,42.0,43.0,42.0,45.0,48.0,50.0,105.0,,1419.0,535.0,1629.0,50.0,51.0,431.0,202.0,53.0,1419.0,40.0,43.0,45.0,38.0,38.0,,2884.0,232.0,535.0
,,,,52.0,1172.0,34.0,38.0,42.0,46.0,1974.0,99.0,35.0,,34.0,3986.0,,45.0,3651.0,49.0,41.0,4823.0,51.0,,,,,,37.0,,,,,,44.0,1241.0,48,4018.0,1419.0,,717.0,52.0,36.0,,34.0,37.0,2790.0,39.0,40.0,40.0,536.0,4458.0,35.0,1607.0,39.0,38.0,39.0,1100.0,1206.0,40.0,104.0,232.0,347.0,368.0,,,736.0,34.0,36.0,778.0,265.0,1004.0,1516.0,233.0,42.0,41.0,38.0,41.0,42.0,40.0,42.0,43.0,46.0,45.0,51.0,103.0,,1421.0,566.0,1633.0,51.0,55.0,265.0,,54.0,1419.0,44.0,43.0,47.0,39.0,39.0,,3283.0,236.0,502.0
,,,,,1638.0,38.0,36.0,41.0,47.0,1976.0,103.0,33.0,,34.0,4018.0,,49.0,3617.0,49.0,40.0,4756.0,47.0,,,,,,37.0,,,,,,44.0,1175.0,47,3958.0,1420.0,,720.0,51.0,35.0,,34.0,36.0,2757.0,38.0,39.0,41.0,537.0,4600.0,33.0,1609.0,37.0,37.0,36.0,1063.0,1173.0,43.0,101.0,168.0,382.0,368.0,,,900.0,35.0,36.0,739.0,265.0,1002.0,1485.0,200.0,42.0,42.0,38.0,41.0,41.0,41.0,42.0,43.0,46.0,48.0,49.0,101.0,,1418.0,1506.0,1603.0,50.0,54.0,537.0,,54.0,,41.0,43.0,45.0,40.0,40.0,,3384.0,241.0,467.0
,,,,,2070.0,84.0,36.0,42.0,44.0,1974.0,68.0,34.0,,34.0,4654.0,,47.0,3582.0,45.0,40.0,4689.0,48.0,,,,,,39.0,,,,,,44.0,1140.0,49,3926.0,1420.0,,718.0,54.0,36.0,,34.0,36.0,2760.0,39.0,41.0,41.0,705.0,4933.0,35.0,1577.0,36.0,37.0,37.0,1032.0,1139.0,41.0,103.0,100.0,342.0,370.0,,,1002.0,34.0,34.0,739.0,264.0,969.0,1452.0,,41.0,43.0,49.0,39.0,41.0,42.0,41.0,44.0,48.0,47.0,48.0,104.0,,1436.0,2309.0,1569.0,50.0,52.0,718.0,,77.0,,42.0,45.0,46.0,39.0,39.0,,3452.0,241.0,465.0
,,,,,2275.0,964.0,36.0,41.0,46.0,1974.0,68.0,36.0,,33.0,4898.0,,47.0,3517.0,45.0,42.0,4654.0,48.0,,,,,,37.0,,,,,,43.0,1071.0,48,3889.0,1419.0,,717.0,53.0,35.0,,36.0,38.0,2725.0,39.0,41.0,41.0,840.0,5137.0,35.0,1576.0,37.0,37.0,38.0,997.0,1106.0,41.0,104.0,33.0,348.0,367.0,,,1266.0,35.0,35.0,706.0,263.0,935.0,1415.0,,42.0,42.0,40.0,41.0,40.0,41.0,42.0,45.0,48.0,46.0,48.0,104.0,,1435.0,3580.0,1571.0,49.0,51.0,721.0,,54.0,,39.0,43.0,45.0,38.0,38.0,,3751.0,242.0,434.0
,,,,,2945.0,932.0,38.0,44.0,47.0,1974.0,67.0,36.0,,35.0,5660.0,,45.0,3482.0,49.0,41.0,4623.0,50.0,,,,,,35.0,,,,,,43.0,1041.0,49,3827.0,1419.0,,720.0,53.0,33.0,,36.0,37.0,2638.0,38.0,38.0,42.0,1204.0,5169.0,34.0,1573.0,38.0,37.0,41.0,966.0,1073.0,41.0,104.0,47.0,348.0,367.0,,,1497.0,34.0,34.0,671.0,264.0,901.0,1417.0,,39.0,41.0,39.0,41.0,39.0,41.0,42.0,43.0,45.0,47.0,49.0,103.0,,1419.0,,1542.0,49.0,54.0,718.0,,50.0,,42.0,42.0,45.0,39.0,38.0,,4083.0,243.0,400.0
,,,,,3750.0,930.0,39.0,43.0,48.0,1975.0,66.0,35.0,,33.0,5696.0,,47.0,3447.0,48.0,39.0,4621.0,49.0,,,,,,36.0,,,,,,43.0,971.0,49,4401.0,1420.0,,717.0,53.0,33.0,,34.0,36.0,2537.0,38.0,39.0,41.0,2285.0,5240.0,34.0,1537.0,38.0,40.0,39.0,938.0,1040.0,41.0,102.0,50.0,349.0,370.0,,,1664.0,35.0,34.0,671.0,264.0,902.0,1412.0,,43.0,41.0,38.0,39.0,41.0,41.0,42.0,43.0,46.0,48.0,47.0,104.0,,1421.0,,1540.0,52.0,52.0,757.0,,51.0,,43.0,42.0,46.0,39.0,40.0,,4454.0,243.0,368.0
,,,,,4454.0,897.0,36.0,42.0,44.0,1975.0,67.0,36.0,,34.0,6396.0,,49.0,3414.0,49.0,41.0,4589.0,48.0,,,,,,35.0,,,,,,44.0,906.0,48,4366.0,1420.0,,719.0,51.0,35.0,,35.0,36.0,2534.0,41.0,40.0,39.0,2484.0,5271.0,34.0,1542.0,36.0,39.0,39.0,905.0,1006.0,44.0,104.0,46.0,346.0,368.0,,,1863.0,,35.0,633.0,261.0,868.0,1371.0,,41.0,43.0,39.0,40.0,41.0,43.0,40.0,40.0,44.0,50.0,50.0,106.0,,1425.0,,1541.0,49.0,54.0,756.0,,52.0,,41.0,43.0,45.0,39.0,40.0,,,243.0,367.0
,,,,,4758.0,899.0,39.0,43.0,47.0,1975.0,34.0,35.0,,35.0,,,49.0,3380.0,48.0,41.0,4587.0,48.0,,,,,,38.0,,,,,,43.0,875.0,48,4298.0,1421.0,,716.0,53.0,34.0,,34.0,37.0,2499.0,39.0,39.0,39.0,2819.0,5309.0,35.0,1542.0,36.0,36.0,38.0,873.0,970.0,43.0,105.0,48.0,348.0,367.0,,,2165.0,,35.0,633.0,261.0,836.0,1371.0,,41.0,42.0,38.0,42.0,41.0,42.0,40.0,43.0,46.0,49.0,49.0,104.0,,1426.0,,1540.0,52.0,53.0,717.0,,53.0,,40.0,41.0,45.0,39.0,40.0,,,235.0,335.0
,,,,,5327.0,900.0,38.0,42.0,45.0,1978.0,36.0,36.0,,33.0,,,49.0,3379.0,46.0,43.0,4556.0,48.0,,,,,,36.0,,,,,,44.0,803.0,47,4227.0,1416.0,,718.0,52.0,35.0,,36.0,36.0,2470.0,38.0,37.0,38.0,3282.0,5332.0,39.0,1512.0,36.0,39.0,38.0,878.0,938.0,41.0,105.0,47.0,350.0,367.0,,,2396.0,,1644.0,600.0,267.0,805.0,1372.0,,41.0,40.0,40.0,39.0,41.0,43.0,41.0,41.0,45.0,48.0,48.0,102.0,,1421.0,,1567.0,50.0,55.0,720.0,,50.0,,42.0,42.0,49.0,38.0,38.0,,,310.0,304.0
,,,,,5769.0,866.0,40.0,42.0,44.0,1977.0,35.0,35.0,,34.0,,,46.0,3313.0,48.0,42.0,4556.0,49.0,,,,,,36.0,,,,,,43.0,771.0,46,4191.0,,,718.0,52.0,33.0,,34.0,36.0,2435.0,36.0,41.0,41.0,3551.0,5404.0,36.0,1512.0,37.0,40.0,40.0,839.0,900.0,42.0,105.0,48.0,348.0,369.0,,,2594.0,,1643.0,600.0,265.0,802.0,1406.0,,41.0,40.0,38.0,43.0,40.0,42.0,42.0,34.0,46.0,49.0,49.0,,,,,1565.0,50.0,52.0,719.0,,52.0,,40.0,43.0,45.0,39.0,38.0,,,245.0,302.0
,,,,,6206.0,867.0,37.0,43.0,45.0,1974.0,33.0,33.0,,32.0,,,48.0,3278.0,45.0,42.0,4484.0,49.0,,,,,,37.0,,,,,,43.0,700.0,49,4657.0,,,718.0,54.0,34.0,,34.0,38.0,2436.0,37.0,40.0,42.0,3755.0,5436.0,33.0,1476.0,35.0,36.0,37.0,804.0,864.0,41.0,101.0,45.0,349.0,369.0,,,2762.0,,1609.0,565.0,263.0,771.0,1407.0,,39.0,41.0,38.0,42.0,41.0,42.0,40.0,42.0,45.0,46.0,49.0,,,,,1600.0,50.0,53.0,719.0,,52.0,,42.0,41.0,47.0,37.0,38.0,,,241.0,267.0
,,,,,,868.0,38.0,44.0,45.0,1976.0,33.0,33.0,,36.0,,,47.0,3214.0,46.0,41.0,4517.0,50.0,,,,,,36.0,,,,,,41.0,635.0,48,4627.0,,,717.0,50.0,36.0,,34.0,36.0,2706.0,37.0,38.0,40.0,4055.0,5495.0,34.0,1512.0,36.0,36.0,37.0,771.0,799.0,43.0,102.0,48.0,350.0,369.0,,,2965.0,,1609.0,564.0,264.0,739.0,1405.0,,39.0,43.0,38.0,40.0,42.0,41.0,43.0,33.0,45.0,46.0,47.0,,,,,1599.0,49.0,51.0,719.0,,50.0,,43.0,41.0,45.0,37.0,40.0,,,240.0,234.0
,,,,,,831.0,38.0,44.0,44.0,1980.0,36.0,36.0,,34.0,,,49.0,3179.0,47.0,41.0,4452.0,52.0,,,,,,37.0,,,,,,45.0,602.0,48,4557.0,,,720.0,51.0,36.0,,34.0,37.0,2674.0,37.0,40.0,40.0,4558.0,5533.0,35.0,1582.0,35.0,39.0,39.0,735.0,763.0,42.0,103.0,49.0,349.0,370.0,,,3198.0,,1609.0,531.0,265.0,736.0,1442.0,,42.0,44.0,40.0,41.0,42.0,41.0,41.0,,48.0,48.0,49.0,,,,,1599.0,50.0,50.0,722.0,,52.0,,41.0,43.0,46.0,38.0,37.0,,,240.0,234.0
,,,,,,833.0,36.0,44.0,45.0,1980.0,34.0,37.0,,18.0,,,47.0,3143.0,47.0,42.0,4486.0,52.0,,,,,,37.0,,,,,,43.0,538.0,48,4522.0,,,718.0,52.0,35.0,,33.0,37.0,2671.0,39.0,39.0,41.0,4793.0,5569.0,36.0,1544.0,38.0,38.0,38.0,701.0,737.0,43.0,103.0,46.0,351.0,369.0,,,3365.0,,1608.0,499.0,265.0,704.0,1444.0,,42.0,41.0,41.0,40.0,40.0,41.0,41.0,,46.0,50.0,51.0,,,,,1600.0,50.0,50.0,719.0,,52.0,,44.0,42.0,41.0,37.0,37.0,,,243.0,201.0
,,,,,,801.0,38.0,44.0,46.0,1976.0,34.0,37.0,,34.0,,,49.0,3111.0,47.0,42.0,4419.0,49.0,,,,,,35.0,,,,,,40.0,475.0,49,4490.0,,,,54.0,35.0,,35.0,37.0,2671.0,38.0,40.0,41.0,5163.0,5605.0,36.0,1613.0,36.0,38.0,39.0,668.0,702.0,42.0,101.0,47.0,349.0,367.0,,,3569.0,,1606.0,500.0,264.0,670.0,2043.0,,40.0,43.0,40.0,41.0,40.0,41.0,42.0,,45.0,46.0,49.0,,,,,2067.0,50.0,50.0,719.0,,53.0,,41.0,44.0,47.0,37.0,38.0,,,242.0,168.0
,,,,,,802.0,37.0,41.0,46.0,1977.0,34.0,35.0,,35.0,,,46.0,3042.0,49.0,42.0,4387.0,49.0,,,,,,36.0,,,,,,43.0,443.0,49,,,,,52.0,35.0,,36.0,38.0,2670.0,39.0,39.0,42.0,5462.0,5633.0,33.0,1644.0,36.0,37.0,39.0,636.0,671.0,41.0,101.0,47.0,351.0,368.0,,,3636.0,,1604.0,468.0,265.0,670.0,2209.0,,39.0,42.0,40.0,41.0,44.0,41.0,41.0,,45.0,47.0,50.0,,,,,,50.0,54.0,718.0,,54.0,,42.0,43.0,47.0,38.0,38.0,,,242.0,166.0
,,,,,,803.0,38.0,41.0,43.0,1979.0,,,,33.0,,,48.0,3011.0,48.0,43.0,4386.0,51.0,,,,,,37.0,,,,,,41.0,373.0,50,,,,,53.0,36.0,,32.0,39.0,2706.0,38.0,40.0,40.0,5793.0,5675.0,35.0,1641.0,38.0,38.0,39.0,602.0,641.0,42.0,,46.0,347.0,371.0,,,3706.0,,1573.0,471.0,262.0,637.0,2673.0,,41.0,41.0,41.0,40.0,38.0,41.0,40.0,,45.0,50.0,50.0,,,,,,48.0,54.0,728.0,,,,42.0,43.0,46.0,39.0,36.0,,,241.0,134.0
,,,,,,1188.0,40.0,41.0,46.0,1981.0,,,,36.0,,,48.0,2974.0,46.0,41.0,4356.0,51.0,,,,,,37.0,,,,,,43.0,337.0,46,,,,,51.0,36.0,,34.0,34.0,2703.0,38.0,38.0,40.0,6297.0,5733.0,33.0,1672.0,35.0,38.0,38.0,570.0,607.0,42.0,,44.0,347.0,373.0,,,3740.0,,1571.0,441.0,265.0,638.0,2876.0,,41.0,42.0,41.0,40.0,40.0,43.0,42.0,,46.0,50.0,51.0,,,,,,49.0,52.0,731.0,,,,41.0,72.0,48.0,38.0,37.0,,,238.0,133.0
,,,,,,1203.0,38.0,41.0,45.0,1978.0,,,,33.0,,,46.0,2939.0,45.0,41.0,4353.0,50.0,,,,,,37.0,,,,,,42.0,268.0,48,,,,,53.0,34.0,,34.0,35.0,2705.0,37.0,40.0,40.0,6703.0,5766.0,34.0,2410.0,38.0,38.0,40.0,531.0,573.0,40.0,,47.0,349.0,370.0,,,3909.0,,1537.0,439.0,265.0,671.0,3244.0,,40.0,43.0,41.0,42.0,42.0,42.0,41.0,,48.0,49.0,47.0,,,,,,52.0,50.0,720.0,,,,42.0,34.0,44.0,40.0,38.0,,,244.0,
,,,,,,1168.0,36.0,42.0,47.0,2012.0,,,,31.0,,,48.0,2901.0,47.0,40.0,4352.0,47.0,,,,,,38.0,,,,,,41.0,250.0,46,,,,,53.0,35.0,,34.0,39.0,2736.0,38.0,40.0,40.0,7477.0,5805.0,35.0,5761.0,38.0,37.0,38.0,500.0,535.0,42.0,,51.0,345.0,370.0,,,,,1535.0,406.0,262.0,668.0,,,40.0,42.0,39.0,39.0,40.0,43.0,43.0,,46.0,46.0,,,,,,,49.0,51.0,717.0,,,,43.0,44.0,45.0,38.0,37.0,,,244.0,
,,,,,,1166.0,,42.0,47.0,2347.0,,,,36.0,,,48.0,2875.0,57.0,41.0,,,,,,,,38.0,,,,,,43.0,317.0,48,,,,,53.0,35.0,,36.0,39.0,2740.0,39.0,40.0,41.0,,,35.0,7239.0,34.0,37.0,36.0,469.0,468.0,42.0,,47.0,348.0,,,,,,1504.0,404.0,277.0,1565.0,,,41.0,42.0,38.0,42.0,39.0,41.0,43.0,,43.0,49.0,,,,,,,56.0,55.0,717.0,,,,43.0,41.0,46.0,40.0,36.0,,,245.0,
,,,,,,1266.0,,43.0,44.0,2346.0,,,,33.0,,,49.0,,47.0,41.0,,,,,,,,36.0,,,,,,43.0,317.0,49,,,,,52.0,34.0,,34.0,37.0,2744.0,41.0,40.0,39.0,,,35.0,,35.0,36.0,37.0,437.0,436.0,42.0,,49.0,346.0,,,,,,1504.0,365.0,266.0,1904.0,,,,43.0,38.0,41.0,39.0,41.0,42.0,,48.0,50.0,,,,,,,50.0,54.0,717.0,,,,42.0,41.0,44.0,39.0,39.0,,,,
